sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
5,983;2891;;6s;Yes;No;3;0,66234;0,92073;0,00000;0,16718;2,29198;Atlas32016@14238;Don@14239;Terra@14240;0.6623399597717113;0.708913989044615;0.9207286570054412;0.6623399597717113;0.708913989044615;0.9207286570054412;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,519;2498;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;ParsCat@14241;Atlas32016@14242;Don@14243;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,579;2064;;6s;Yes;No;3;0,70788;0,83316;0,00000;0,21425;2,35258;Agent16A@14244;Don@14245;ParsCat@14246;0.8331557266678853;0.7078819242022053;0.8115387803042545;0.8331557266678853;0.7078819242022053;0.8115387803042545;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,734;2547;;6s;Yes;No;3;0,55722;0,95839;0,00000;0,41565;2,27684;Atlas32016@14247;ParsCat@14248;Don@14249;0.9583904183546066;0.5572165726750724;0.7612321087822828;0.9583904183546066;0.5572165726750724;0.7612321087822828;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,524;2031;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;ParsCat@14250;Agent16A@14251;Don@14252;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,581;3884;;6s;Yes;No;3;0,52342;0,95839;0,00000;0,48329;2,10674;Atlas32016@14253;ParsCat@14254;Terra@14255;0.9583904183546066;0.6249344228105134;0.5234180797986061;0.9583904183546066;0.6249344228105134;0.5234180797986061;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,564;1843;;6s;Yes;No;3;0,65694;0,84999;0,02952;0,28897;2,22766;Don@14256;ParsCat@14257;Agent16A@14258;0.8499890239265229;0.6569389608884004;0.7207280478119518;0.8499890239265229;0.6569389608884004;0.7207280478119518;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,970;3176;;6s;Yes;No;3;0,72475;0,80760;0,00000;0,09884;2,30339;Atlas32016@14259;Agent16A@14260;Terra@14261;0.7247543322398016;0.8076043124155334;0.7710347193339235;0.7247543322398016;0.8076043124155334;0.7710347193339235;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,811;3056;;6s;Yes;No;3;0,66234;0,92073;0,00000;0,16718;2,29198;Don@14262;Terra@14263;Atlas32016@14264;0.6623399597717113;0.708913989044615;0.9207286570054412;0.6623399597717113;0.708913989044615;0.9207286570054412;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,931;3172;;6s;Yes;No;3;0,45827;0,96566;0,00000;0,41768;2,14126;Agent16A@14265;Terra@14266;Atlas32016@14267;0.7173356088525118;0.4582696639426663;0.9656570921345723;0.7173356088525118;0.4582696639426663;0.9656570921345723;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,940;2328;;6s;Yes;No;3;0,70788;0,83316;0,00000;0,21425;2,35258;Agent16A@14268;Don@14269;Atlas32016@14270;0.8331557266678853;0.7078819242022053;0.8115387803042545;0.8331557266678853;0.7078819242022053;0.8115387803042545;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,941;4426;;6s;Yes;No;3;0,65854;0,87477;0,00000;0,29666;2,26999;Terra@14271;Atlas32016@14272;ParsCat@14273;0.8747653083132787;0.6585367625167461;0.7366918114684958;0.8747653083132787;0.6585367625167461;0.7366918114684958;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,966;2440;;6s;Yes;No;3;0,58813;0,92515;0,00000;0,16009;2,26866;Don@14274;Atlas32016@14275;Agent16A@14276;0.5881294236017314;0.7553726988978312;0.9251530311642413;0.5881294236017314;0.7553726988978312;0.9251530311642413;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,952;3212;;6s;Yes;No;3;0,63857;0,73712;0,14057;0,25961;2,09199;Atlas32016@14277;Agent16A@14278;ParsCat@14279;0.7371179470366218;0.6385662724384187;0.7163036736531516;0.7371179470366218;0.6385662724384187;0.7163036736531516;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,992;2547;;6s;Yes;No;3;0,58269;0,78321;0,15276;0,18369;2,07683;Atlas32016@14280;Don@14281;Agent16A@14282;0.5826863432944426;0.7832145999657717;0.710925437260311;0.5826863432944426;0.7832145999657717;0.710925437260311;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,501;2768;;6s;Yes;No;3;0,57372;0,83316;0,00000;0,32123;2,18248;Don@14283;ParsCat@14284;Terra@14285;0.8331557266678853;0.7755997743376463;0.5737247513205779;0.8331557266678853;0.7755997743376463;0.5737247513205779;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,646;1997;;6s;Yes;No;3;0,70628;0,80838;0,02952;0,20227;2,31024;Don@14286;Agent16A@14287;ParsCat@14288;0.8083794422811295;0.7062841225738596;0.7955750166477105;0.8083794422811295;0.7062841225738596;0.7955750166477105;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,758;4101;;6s;Yes;No;3;0,50787;1,00000;0,00000;0,49769;2,19426;Atlas32016@14289;Terra@14290;ParsCat@14291;1.0;0.5078714109896132;0.6863851399465241;1.0;0.5078714109896132;0.6863851399465241;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,949;3105;;6s;Yes;No;3;0,57372;0,83316;0,00000;0,32123;2,18248;Agent16A@14292;Atlas32016@14293;Terra@14294;0.8331557266678853;0.7755997743376463;0.5737247513205779;0.8331557266678853;0.7755997743376463;0.5737247513205779;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,975;3161;;6s;Yes;No;3;0,59108;0,84146;0,12628;0,23462;2,07373;Terra@14295;Atlas32016@14296;Agent16A@14297;0.5910784645272038;0.641196138909174;0.8414573140108823;0.5910784645272038;0.641196138909174;0.8414573140108823;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,520;2376;;6s;Yes;No;3;0,60807;0,92467;0,00000;0,24727;2,21588;ParsCat@14298;Don@14299;Terra@14300;0.6831447505944082;0.9246673242364336;0.6080676591860057;0.6831447505944082;0.9246673242364336;0.6080676591860057;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,113;2468;;6s;Yes;No;3;0,55985;0,88639;0,00000;0,32650;2,25858;ParsCat@14301;Terra@14302;Don@14303;0.8123509358451885;0.5598464391458277;0.8863857491400134;0.8123509358451885;0.5598464391458277;0.8863857491400134;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,957;3209;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;Terra@14304;Don@14305;Atlas32016@14306;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,955;3404;;6s;Yes;No;3;0,48767;0,79020;0,18369;0,26841;1,95951;Agent16A@14307;Atlas32016@14308;ParsCat@14309;0.4876710163017658;0.6816378247626104;0.79019678025487;0.4876710163017658;0.6816378247626104;0.79019678025487;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,520;3723;;6s;Yes;No;3;0,60807;0,92467;0,00000;0,24727;2,21588;ParsCat@14310;Atlas32016@14311;Terra@14312;0.6831447505944082;0.9246673242364336;0.6080676591860057;0.6831447505944082;0.9246673242364336;0.6080676591860057;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,959;3023;;6s;Yes;No;3;0,72475;0,80760;0,00000;0,09884;2,30339;Terra@14313;Agent16A@14314;Atlas32016@14315;0.7247543322398016;0.8076043124155334;0.7710347193339235;0.7247543322398016;0.8076043124155334;0.7710347193339235;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,272;2776;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;Terra@14316;Don@14317;ParsCat@14318;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,214;2189;;6s;Yes;No;3;0,55776;0,80838;0,02952;0,32493;2,14014;Don@14319;Agent16A@14320;Terra@14321;0.8083794422811295;0.7740019727093006;0.5577609876640339;0.8083794422811295;0.7740019727093006;0.5577609876640339;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,554;2723;;6s;Yes;No;3;0,40918;0,93759;0,00000;0,51510;2,18285;Atlas32016@14322;Terra@14323;Don@14324;0.9375856275319099;0.40918108761869487;0.8360790776180417;0.9375856275319099;0.40918108761869487;0.8360790776180417;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,165;2193;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;Terra@14325;Agent16A@14326;Don@14327;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,634;3833;;6s;Yes;No;3;0,56732;1,00000;0,00000;0,31539;2,17466;ParsCat@14328;Terra@14329;Atlas32016@14330;0.5673246327790347;0.6073372138414537;1.0;0.5673246327790347;0.6073372138414537;1.0;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,447;3163;;6s;Yes;No;3;0,60807;0,92467;0,00000;0,24727;2,21588;Terra@14331;Atlas32016@14332;Don@14333;0.6831447505944082;0.9246673242364336;0.6080676591860057;0.6831447505944082;0.9246673242364336;0.6080676591860057;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,971;2175;;6s;Yes;No;3;0,65694;0,84999;0,02952;0,28897;2,22766;Don@14334;Agent16A@14335;Atlas32016@14336;0.8499890239265229;0.6569389608884004;0.7207280478119518;0.8499890239265229;0.6569389608884004;0.7207280478119518;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,960;2843;;6s;Yes;No;3;0,55825;0,87042;0,02952;0,31738;2,21625;Atlas32016@14337;Terra@14338;Agent16A@14339;0.7875746514584328;0.5582486375174822;0.8704219854834694;0.7875746514584328;0.5582486375174822;0.8704219854834694;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,977;2461;;6s;Yes;No;3;0,55985;0,88639;0,00000;0,32650;2,25858;Agent16A@14340;Atlas32016@14341;Don@14342;0.8123509358451885;0.5598464391458277;0.8863857491400134;0.8123509358451885;0.5598464391458277;0.8863857491400134;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,445;2871;;6s;Yes;No;3;0,58813;0,92515;0,00000;0,16009;2,26866;Don@14343;Atlas32016@14344;ParsCat@14345;0.5881294236017314;0.7553726988978312;0.9251530311642413;0.5881294236017314;0.7553726988978312;0.9251530311642413;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
4,280;2404;;6s;Yes;No;3;0,55722;0,95839;0,00000;0,41565;2,27684;Don@14346;Terra@14347;ParsCat@14348;0.9583904183546066;0.5572165726750724;0.7612321087822828;0.9583904183546066;0.5572165726750724;0.7612321087822828;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,989;2529;;6s;Yes;No;3;0,55776;0,80838;0,02952;0,32493;2,14014;Atlas32016@14349;Agent16A@14350;Don@14351;0.8083794422811295;0.7740019727093006;0.5577609876640339;0.8083794422811295;0.7740019727093006;0.5577609876640339;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,999;3120;;6s;Yes;No;3;0,66234;0,92073;0,00000;0,16718;2,29198;Atlas32016@14352;ParsCat@14353;Agent16A@14354;0.6623399597717113;0.708913989044615;0.9207286570054412;0.6623399597717113;0.708913989044615;0.9207286570054412;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,593;3998;;6s;Yes;No;3;0,56732;1,00000;0,00000;0,31539;2,17466;Terra@14355;ParsCat@14356;Atlas32016@14357;0.5673246327790347;0.6073372138414537;1.0;0.5673246327790347;0.6073372138414537;1.0;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,532;2000;;6s;Yes;No;3;0,70788;0,83316;0,00000;0,21425;2,35258;Agent16A@14358;ParsCat@14359;Don@14360;0.8331557266678853;0.7078819242022053;0.8115387803042545;0.8331557266678853;0.7078819242022053;0.8115387803042545;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
4,673;2249;;6s;Yes;No;3;0,53322;0,87532;0,00000;0,31595;2,13330;ParsCat@14361;Agent16A@14362;Terra@14363;0.7247543322398016;0.8753221625509744;0.5332206903502469;0.7247543322398016;0.8753221625509744;0.5332206903502469;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,705;2709;;6s;Yes;No;3;0,55985;0,88639;0,00000;0,32650;2,25858;Don@14364;ParsCat@14365;Atlas32016@14366;0.8123509358451885;0.5598464391458277;0.8863857491400134;0.8123509358451885;0.5598464391458277;0.8863857491400134;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
4,800;2394;;6s;Yes;No;3;0,70788;0,83316;0,00000;0,21425;2,35258;Agent16A@14367;ParsCat@14368;Terra@14369;0.8331557266678853;0.7078819242022053;0.8115387803042545;0.8331557266678853;0.7078819242022053;0.8115387803042545;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,950;3245;;6s;Yes;No;3;0,65694;0,84999;0,02952;0,28897;2,22766;ParsCat@14370;Agent16A@14371;Atlas32016@14372;0.8499890239265229;0.6569389608884004;0.7207280478119518;0.8499890239265229;0.6569389608884004;0.7207280478119518;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
3,392;1768;;6s;Yes;No;3;0,45564;0,86338;0,00000;0,43996;2,15952;Agent16A@14373;Terra@14374;ParsCat@14375;0.8633750913619298;0.45563979747191097;0.8405034517768417;0.8633750913619298;0.45563979747191097;0.8405034517768417;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
3,326;1640;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;Terra@14376;Agent16A@14377;ParsCat@14378;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,119;2175;;6s;Yes;No;3;0,55985;0,88639;0,00000;0,32650;2,25858;Agent16A@14379;Terra@14380;Don@14381;0.8123509358451885;0.5598464391458277;0.8863857491400134;0.8123509358451885;0.5598464391458277;0.8863857491400134;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,980;3255;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;Atlas32016@14382;Don@14383;ParsCat@14384;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,956;3010;;6s;Yes;No;3;0,53322;0,87532;0,00000;0,31595;2,13330;Don@14385;Atlas32016@14386;Terra@14387;0.7247543322398016;0.8753221625509744;0.5332206903502469;0.7247543322398016;0.8753221625509744;0.5332206903502469;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,940;2771;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;ParsCat@14388;Don@14389;Atlas32016@14390;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
3,918;1765;;6s;Yes;No;3;0,55825;0,87042;0,02952;0,31738;2,21625;ParsCat@14391;Terra@14392;Agent16A@14393;0.7875746514584328;0.5582486375174822;0.8704219854834694;0.7875746514584328;0.5582486375174822;0.8704219854834694;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,705;2060;;6s;Yes;No;3;0,70788;0,83316;0,00000;0,21425;2,35258;Agent16A@14394;Don@14395;Terra@14396;0.8331557266678853;0.7078819242022053;0.8115387803042545;0.8331557266678853;0.7078819242022053;0.8115387803042545;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,994;2445;;6s;Yes;No;3;0,60471;0,87485;0,02952;0,25569;2,19292;Terra@14397;Don@14398;Agent16A@14399;0.7133641152884527;0.6047073473706983;0.8748463596422695;0.7133641152884527;0.6047073473706983;0.8748463596422695;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,414;1843;;6s;Yes;No;3;0,68314;0,85695;0,00000;0,00000;2,38598;Don@14400;Terra@14401;Agent16A@14402;0.6831447505944082;0.8569494741009926;0.8458816881696822;0.6831447505944082;0.8569494741009926;0.8458816881696822;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,946;3228;;6s;Yes;No;3;0,70788;0,83316;0,00000;0,21425;2,35258;Agent16A@14403;ParsCat@14404;Atlas32016@14405;0.8331557266678853;0.7078819242022053;0.8115387803042545;0.8331557266678853;0.7078819242022053;0.8115387803042545;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,722;2066;;6s;Yes;No;3;0,60631;0,89081;0,00000;0,26051;2,23526;ParsCat@14406;Don@14407;Agent16A@14408;0.7381403996752085;0.6063051489990439;0.8908101232988135;0.7381403996752085;0.6063051489990439;0.8908101232988135;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
4,651;2475;;6s;Yes;No;3;0,58813;0,92515;0,00000;0,16009;2,26866;Terra@14409;ParsCat@14410;Don@14411;0.5881294236017314;0.7553726988978312;0.9251530311642413;0.5881294236017314;0.7553726988978312;0.9251530311642413;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
5,983;3111;;6s;Yes;No;3;0,60471;0,87485;0,02952;0,25569;2,19292;ParsCat@14412;Atlas32016@14413;Agent16A@14414;0.7133641152884527;0.6047073473706983;0.8748463596422695;0.7133641152884527;0.6047073473706983;0.8748463596422695;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
3,889;1809;;6s;Yes;No;3;0,58813;0,92515;0,00000;0,16009;2,26866;Terra@14415;ParsCat@14416;Agent16A@14417;0.5881294236017314;0.7553726988978312;0.9251530311642413;0.5881294236017314;0.7553726988978312;0.9251530311642413;car-Profile1.xml;car-Profile3.xml;car-Profile5.xml
