sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
180.000;39521;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;CUHKAgent2015@3;CUHKAgent2015@4;CUHKAgent2015@5;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;12510;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;TheFawkes@6;CUHKAgent2015@7;CUHKAgent2015@8;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;46049;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;BoaAgent@9;CUHKAgent2015@10;CUHKAgent2015@11;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
179.535;12215;;180s;Yes;No;3;0.69865;0.85568;0.00000;0.28571;2.26935;CUHKAgent2015@12;TheFawkes@13;CUHKAgent2015@14;0.8556804829608448;0.7150176553198933;0.6986527313839865;0.8556804829608448;0.7150176553198933;0.6986527313839865;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;12206;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;TheFawkes@15;TheFawkes@16;CUHKAgent2015@17;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;13441;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;BoaAgent@18;TheFawkes@19;CUHKAgent2015@20;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
122.793;11657;;180s;Yes;No;3;0.72057;0.79739;0.00000;0.22622;2.27329;CUHKAgent2015@21;BoaAgent@22;CUHKAgent2015@23;0.7973871477279642;0.7205741022811142;0.7553331072881683;0.7973871477279642;0.7205741022811142;0.7553331072881683;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
164.208;15919;;180s;Yes;No;3;0.40475;0.89488;0.01482;0.31610;2.13034;TheFawkes@24;BoaAgent@25;CUHKAgent2015@26;0.8948820169364701;0.4047511103074086;0.830707153174943;0.8948820169364701;0.4047511103074086;0.830707153174943;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
121.388;30001;;180s;Yes;No;3;0.73113;0.76418;0.00000;0.22552;2.24945;BoaAgent@27;BoaAgent@28;CUHKAgent2015@29;0.754142095414166;0.7311298907578463;0.7641780072253322;0.754142095414166;0.7311298907578463;0.7641780072253322;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;12550;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;CUHKAgent2015@30;CUHKAgent2015@31;TheFawkes@32;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;10421;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;TheFawkes@33;CUHKAgent2015@34;TheFawkes@35;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;15461;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;BoaAgent@36;CUHKAgent2015@37;TheFawkes@38;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;13341;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;CUHKAgent2015@39;TheFawkes@40;TheFawkes@41;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;12052;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;TheFawkes@42;TheFawkes@43;TheFawkes@44;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
